new_index,Rating History
2018-09-19,2399.0
2018-09-20,2399.0
2018-09-21,2399.0
2018-09-22,2399.0
2018-09-23,2399.0
2018-09-24,2399.0
2018-09-25,2399.0
2018-09-26,2399.0
2018-09-27,2399.0
2018-09-28,2399.0
2018-09-29,2399.0
2018-09-30,2399.0
2018-10-01,2399.0
2018-10-02,2399.0
2018-10-03,2399.0
2018-10-04,2399.0
2018-10-05,2399.0
2018-10-06,2399.0
2018-10-07,2399.0
2018-10-08,2399.0
2018-10-09,2399.0
2018-10-10,2399.0
2018-10-11,2399.0
2018-10-12,2399.0
2018-10-13,2399.0
2018-10-14,2399.0
2018-10-15,2399.0
2018-10-16,2399.0
2018-10-17,2399.0
2018-10-18,2399.0
2018-10-19,2399.0
2018-10-20,2399.0
2018-10-21,2399.0
2018-10-22,2399.0
2018-10-23,2399.0
2018-10-24,2399.0
2018-10-25,2399.0
2018-10-26,2399.0
2018-10-27,2399.0
2018-10-28,2399.0
2018-10-29,2399.0
2018-10-30,2399.0
2018-10-31,2399.0
2018-11-01,2399.0
2018-11-02,2399.0
2018-11-03,2399.0
2018-11-04,2399.0
2018-11-05,2399.0
2018-11-06,2399.0
2018-11-07,2399.0
2018-11-08,2399.0
2018-11-09,2399.0
2018-11-10,2399.0
2018-11-11,2399.0
2018-11-12,2399.0
2018-11-13,2399.0
2018-11-14,2399.0
2018-11-15,2399.0
2018-11-16,2399.0
2018-11-17,2399.0
2018-11-18,2399.0
2018-11-19,2399.0
2018-11-20,2399.0
2018-11-21,2399.0
2018-11-22,2399.0
2018-11-23,2399.0
2018-11-24,2399.0
2018-11-25,2399.0
2018-11-26,2399.0
2018-11-27,2399.0
2018-11-28,2399.0
2018-11-29,2399.0
2018-11-30,2399.0
2018-12-01,2399.0
2018-12-02,2399.0
2018-12-03,2399.0
2018-12-04,2399.0
2018-12-05,2461.0
2018-12-06,2431.0
2018-12-07,2430.0
2018-12-08,2439.0
2018-12-09,2435.0
2018-12-10,2434.0
2018-12-11,2434.0
2018-12-12,2434.0
2018-12-13,2434.0
2018-12-14,2434.0
2018-12-15,2434.0
2018-12-16,2457.0
2018-12-17,2444.0
2018-12-18,2436.0
2018-12-19,2436.0
2018-12-20,2462.0
2018-12-21,2482.0
2018-12-22,2489.0
2018-12-23,2476.0
2018-12-24,2476.0
2018-12-25,2476.0
2018-12-26,2458.0
2018-12-27,2458.0
2018-12-28,2435.0
2018-12-29,2435.0
2018-12-30,2435.0
2018-12-31,2435.0
2019-01-01,2435.0
2019-01-02,2435.0
2019-01-03,2435.0
2019-01-04,2435.0
2019-01-05,2425.0
2019-01-06,2425.0
2019-01-07,2425.0
2019-01-08,2431.0
2019-01-09,2431.0
2019-01-10,2431.0
2019-01-11,2431.0
2019-01-12,2431.0
2019-01-13,2431.0
2019-01-14,2431.0
2019-01-15,2431.0
2019-01-16,2431.0
2019-01-17,2431.0
2019-01-18,2431.0
2019-01-19,2431.0
2019-01-20,2431.0
2019-01-21,2431.0
2019-01-22,2431.0
2019-01-23,2431.0
2019-01-24,2431.0
2019-01-25,2431.0
2019-01-26,2431.0
2019-01-27,2431.0
2019-01-28,2431.0
2019-01-29,2431.0
2019-01-30,2431.0
2019-01-31,2431.0
2019-02-01,2431.0
2019-02-02,2431.0
2019-02-03,2431.0
2019-02-04,2431.0
2019-02-05,2431.0
2019-02-06,2431.0
2019-02-07,2431.0
2019-02-08,2431.0
2019-02-09,2431.0
2019-02-10,2431.0
2019-02-11,2431.0
2019-02-12,2431.0
2019-02-13,2431.0
2019-02-14,2431.0
2019-02-15,2431.0
2019-02-16,2431.0
2019-02-17,2431.0
2019-02-18,2431.0
2019-02-19,2431.0
2019-02-20,2431.0
2019-02-21,2431.0
2019-02-22,2431.0
2019-02-23,2431.0
2019-02-24,2431.0
2019-02-25,2431.0
2019-02-26,2431.0
2019-02-27,2431.0
2019-02-28,2431.0
2019-03-01,2431.0
2019-03-02,2431.0
2019-03-03,2431.0
2019-03-04,2431.0
2019-03-05,2431.0
2019-03-06,2431.0
2019-03-07,2431.0
2019-03-08,2431.0
2019-03-09,2431.0
2019-03-10,2431.0
2019-03-11,2431.0
2019-03-12,2431.0
2019-03-13,2431.0
2019-03-14,2431.0
2019-03-15,2431.0
2019-03-16,2431.0
2019-03-17,2431.0
2019-03-18,2431.0
2019-03-19,2431.0
2019-03-20,2431.0
2019-03-21,2431.0
2019-03-22,2431.0
2019-03-23,2431.0
2019-03-24,2431.0
2019-03-25,2431.0
2019-03-26,2431.0
2019-03-27,2431.0
2019-03-28,2431.0
2019-03-29,2431.0
2019-03-30,2431.0
2019-03-31,2431.0
2019-04-01,2431.0
2019-04-02,2431.0
2019-04-03,2431.0
2019-04-04,2431.0
2019-04-05,2431.0
2019-04-06,2431.0
2019-04-07,2431.0
2019-04-08,2431.0
2019-04-09,2431.0
2019-04-10,2431.0
2019-04-11,2431.0
2019-04-12,2431.0
2019-04-13,2431.0
2019-04-14,2431.0
2019-04-15,2431.0
2019-04-16,2431.0
2019-04-17,2431.0
2019-04-18,2431.0
2019-04-19,2431.0
2019-04-20,2431.0
2019-04-21,2431.0
2019-04-22,2431.0
2019-04-23,2431.0
2019-04-24,2431.0
2019-04-25,2431.0
2019-04-26,2431.0
2019-04-27,2431.0
2019-04-28,2431.0
2019-04-29,2431.0
2019-04-30,2431.0
2019-05-01,2431.0
2019-05-02,2431.0
2019-05-03,2431.0
2019-05-04,2431.0
2019-05-05,2431.0
2019-05-06,2431.0
